,Series,OLS.rec,OLS.unrec,Actual,date,error.rec,error.unrec,OLS.lower.rec,OLS.upper.rec,OLS.lower.unrec,OLS.upper.unrec
1,AAABus,299.621165761014,293.383485719211,178.3874181,1,-121.233747661014,-114.996067619211,106.005238985845,493.237092536183,61.691341558291,525.075629880131
2,AAABus,390.74997441207,386.911661839233,426.2120374,2,35.46206298793,39.300375560767,204.892571131919,576.607377692221,166.790278020292,607.033045658174
3,AAABus,462.969466542603,455.545678292494,513.2112894,3,50.241822857397,57.665611107506,277.781832833707,648.157100251499,236.084037811987,675.007318773001
4,AAABus,395.570301682517,389.794513370573,373.886001,4,-21.684300682517,-15.908512370573,210.377792634002,580.762810731032,170.65614439559,608.932882345556
5,AAABus,462.690423568768,457.711683225691,649.8365629,5,187.146139331232,192.124879674309,278.181964349929,647.198882787607,239.290653259771,676.132713191611
6,AAABus,461.25984571315,449.695400060743,505.7075124,6,44.44766668685,56.012112339257,272.469312172422,650.050379253878,228.335875176536,671.05492494495
7,AAABus,559.45250691683,557.969951831112,443.6266052,7,-115.82590171683,-114.343346631112,372.53060443104,746.37440940262,338.685379770826,777.254523891398
8,AAABus,475.344970726892,475.751981061227,508.259971,8,32.915000273108,32.507989938773,286.222659077572,664.467282376212,253.65265606287,697.851306059584
9,AAABus,504.947354980756,501.527288239536,473.8984318,9,-31.048923180756,-27.628856439536,320.01053740846,689.884172553052,283.030280671488,720.024295807584
10,AAABus,535.622336372616,523.584318264653,504.8193927,10,-30.802943672616,-18.764925564653,349.018777991596,722.225894753636,302.617245470311,744.551391058996
11,AAABus,486.820742040568,488.385468182093,707.1148263,11,220.294084259432,218.729358117907,304.75435931941,668.887124761726,270.893381553891,705.877554810295
12,AAABus,412.170399176101,407.739124171674,439.756573,12,27.586173823899,32.017448828326,220.607284504578,603.733513847624,177.479074668279,637.999173675069
13,AAABus,272.919616774432,273.572252151075,248.5930062,13,-24.326610574432,-24.979245951075,95.9949969632956,449.844236585568,55.4933159339795,491.651188368171
14,AAABus,422.486457552891,422.331278698277,578.6553976,14,156.168940047109,156.324118901723,246.082880926014,598.890034179768,204.863734872342,639.798822524211
15,AAABus,501.444520453453,502.55708800686,414.7058013,15,-86.738719153453,-87.85128670686,323.826670503254,679.062370403652,283.464625567369,721.649550446351
16,AAABus,409.867380345234,413.831051981169,689.3381837,16,279.470803354766,275.507131718831,232.921355581366,586.813405109102,195.872773791999,631.789330170339
17,AAABus,519.936876127865,521.022186396242,508.0361775,17,-11.900698627865,-12.986008896242,336.830397445784,703.043354809946,296.203127069474,745.84124572301
18,AAABus,476.280425036816,471.310254548778,427.4367639,18,-48.843661136816,-43.873490648778,297.355582594197,655.205267479435,250.929250194497,691.691258903058
19,AAABus,582.23007470621,580.676461047297,392.9749073,19,-189.25516740621,-187.701553747297,403.875809681941,760.584339730479,360.683036004631,800.669886089964
20,AAABus,514.351943141761,518.467926190553,455.6375785,20,-58.714364641761,-62.830347690553,333.633185161808,695.070701121715,296.350074423853,740.585777957254
21,AAABus,532.301319088436,524.381995173102,451.7429577,21,-80.558361388436,-72.6390374731021,352.305285567796,712.297352609076,304.001184130479,744.762806215726
22,AAABus,559.582280876569,562.701454735831,527.2553525,22,-32.3269283765691,-35.4461022358311,379.248931500012,739.915630253126,342.655580112046,782.747329359616
23,AAABus,523.492333821232,520.218813397574,978.7937819,23,455.301448078768,458.574968502426,342.141276835236,704.843390807228,298.700711064348,741.736915730799
24,AAABus,499.515239721881,487.318184536197,851.2086902,24,351.693450478119,363.890505663803,300.632763023694,698.397716420068,250.617389988172,724.018979084221
25,AAAHol,1189.45048250498,1192.0932592316,1241.771002,1,52.3205194950199,49.6777427683999,949.769626559671,1429.13133845029,875.996294027463,1508.19022443575
26,AAAHol,452.807871274144,435.238948010627,350.8072952,2,-102.000576074144,-84.431652810627,212.844392382971,692.771350165317,120.265892302522,750.212003718733
27,AAAHol,421.967004778341,417.682994735447,488.0649765,3,66.097971721659,70.381981764553,182.68961201924,661.244397537442,103.328341651197,732.037647819697
28,AAAHol,598.978085197216,588.58231357087,548.894199,4,-50.0838861972161,-39.6881145708701,360.076242403952,837.87992799048,275.063760614057,902.100866527684
29,AAAHol,407.025045829558,408.434362504242,517.8356467,5,110.810600870442,109.401284195758,168.907367888245,645.142723770871,95.8274086977377,721.041316310746
30,AAAHol,476.207650663254,471.811677693959,558.2698852,6,82.062234536746,86.458207506041,237.082021912817,715.333279413691,159.356559249828,784.266796138091
31,AAAHol,573.646137988374,576.760168208856,412.2641573,7,-161.381980688374,-164.496010908856,335.017071048228,812.27520492852,264.83888262648,888.681453791232
32,AAAHol,381.202606718478,383.904652675616,424.1680508,8,42.965444081522,40.263398124384,141.55225561978,620.852957817176,71.6182805239642,696.191024827267
33,AAAHol,510.031987343404,509.505805288288,485.2176138,9,-24.814373543404,-24.288191488288,271.462382047365,748.601592639443,198.330679692903,820.680930883674
34,AAAHol,669.448156029633,660.151553937632,613.954674,10,-55.493482029633,-46.1968799376321,431.042693806625,907.853618252641,349.048252127778,971.254855747485
35,AAAHol,441.525171522441,444.905577336032,572.8421445,11,131.316972977559,127.936567163968,205.080005961432,677.97033708345,135.69407654886,754.117078123204
36,AAAHol,486.249848601738,485.850297748332,299.2605151,12,-186.989333501738,-186.589782648332,248.950159511954,723.549537691522,176.49880784082,795.201787655843
37,AAAHol,1158.95754920797,1157.07658505865,1040.991606,13,-117.96594320797,-116.08497905865,922.633719701161,1395.28137871478,848.090469657824,1466.06270045948
38,AAAHol,373.972364743863,380.287473748791,358.0915498,14,-15.880814943863,-22.195923948791,138.184713218999,609.760016268727,71.4788116240606,689.096135873521
39,AAAHol,429.472904830693,430.620865346736,407.402452,15,-22.070452830693,-23.218413346736,194.804659228888,664.141150432498,123.307118000843,737.934612692629
40,AAAHol,568.987840077977,567.915864944076,511.7286827,16,-57.259157377977,-56.187182244076,335.062873226847,802.912806929107,261.544042138811,874.287687749342
41,AAAHol,406.980344579937,410.991717810255,482.610279,17,75.629934420063,71.618561189745,173.12118865197,640.839500507904,105.000569943285,716.982865677224
42,AAAHol,478.7240848277,473.22262213645,531.179298,18,52.4552131723,57.95667586355,245.678372449216,711.769797206184,167.764566308834,778.680677964066
43,AAAHol,550.110020229016,554.791369319532,636.639074,19,86.5290537709841,81.847704680468,318.27075594651,781.949284511522,249.869011933417,859.713726705646
44,AAAHol,447.473413375402,456.424653590449,383.5262164,20,-63.947196975402,-72.898437190449,216.104632814617,678.842193936187,152.468300920537,760.38100626036
45,AAAHol,517.579368981107,507.076178222657,484.9599985,21,-32.619370481107,-22.116179722657,286.600535155374,748.55820280684,203.941929976898,810.210426468416
46,AAAHol,666.380107566956,669.535718976315,399.8676681,22,-266.512439466956,-269.668050876315,435.962389945971,896.797825187942,367.162317210842,971.909120741789
47,AAAHol,416.275722118452,400.793849886079,347.3370516,23,-68.938670518452,-53.456798286079,182.241430601914,650.31001363499,94.4069690352897,707.180730736869
48,AAAHol,407.630591230974,395.889782913637,287.9626827,24,-119.667908530974,-107.927100213637,174.910656881184,640.350525580764,91.6842043525041,700.095361474769
49,AAAOth,149.65365954152,143.730299399918,62.935852,1,-86.71780754152,-80.794447399918,16.025552659149,283.281766423891,-7.46398767469501,294.924586474531
50,AAAOth,128.42617836037,124.147095442967,139.2622529,2,10.83607453963,15.115157457033,-5.00855170616146,261.860908426901,-27.2974679159952,275.591658801929
51,AAAOth,167.132138822229,159.068227217794,306.2175573,3,139.085418477771,147.149330082206,34.3370844299587,299.927193214499,8.85862409100656,309.277830344582
52,AAAOth,155.093415106188,150.931892597772,104.0859516,4,-51.007463506188,-46.845940997772,19.6552908114812,290.531539400895,-2.15465833222876,304.018443527773
53,AAAOth,153.65631135533,149.574093693651,376.8646819,5,223.20837054467,227.290588206349,19.4743562265006,287.838266484159,-1.67024460266359,300.818431989966
54,AAAOth,197.479712305734,187.661266749738,99.4593451,6,-98.020367205734,-88.201921649738,55.8475668092679,339.1118578022,29.7189989932886,345.603534506188
55,AAAOth,164.059462212966,163.23838528502,158.8258826,7,-5.233579612966,-4.41250268502,25.5796880823335,302.539236343598,8.50988798594994,317.966882584089
56,AAAOth,168.498640004265,170.518082494288,101.860769,8,-66.637871004265,-68.657313494288,30.0991080372858,306.898171971244,16.5105444172359,324.52562057134
57,AAAOth,168.12281584928,167.630472280929,362.2339951,9,194.11117925072,194.603522819071,29.9470761436324,306.298555554928,13.4585353359084,321.802409225949
